id,name
1304,Rain Man
1305,Gambler
1306,CRAP PLAYERS
1307,Farmboy
1308,Slot Player #1
1309,Slot Player #2
1239,GOODMAN
1225,RUTH
1270,Mindy
1223,Edward
1260,Accountant
1310,Audience Member
1311,Robert Goulet
1312,Wheelman
1313,Wheel Players
1314,Craps Players
1315,Molloy
1316,Voice From The Back
1317,IRISH PETE
1318,Beatnik Poet
1319,Twelve-year-old
1320,Cat Burglar
1321,Box Executive
1322,Organ Grinder
1323,Crowd Member
1324,2nd Crowd Member
1325,Mrs. Quimby
1326,Fireman
1327,Hammer
1328,CONAN
1329,Kitty
1330,Customer #1
1331,Customer #2
1332,Dog
1334,Bum #1
1335,Comedian
1338,Stockboy
1339,Christians
1340,Robed Indian
1341,Aged Man
1342,ROBBER
1343,Old Ladies
1344,Onlookers
1345,Girl #2
1346,Hip Old Man
1347,Buzz Announcer
1348,Malibu Stacy
1349,Goofy Girl
1350,Goofy Girl's Stacy
1351,Recorded Voice
1352,Claire Harper
1353,Ugly Man
1354,Leroy
1355,Angry Customer
1356,Young Man
1357,Stacy Lovell
1358,GI JOE
1359,Doll
1360,Grim C.E.O.
1361,Brockman's Daughter
1362,Executives
1363,Old Lady Customer
1364,Old People
1365,GIRL#2
1366,Crowd Noise
1367,Nasa Announcer #1
1368,Nasa Announcer #2
1369,Dr. Babcock
1371,Chimp
1372,Female Scientist
1373,TIM ALLEN-TYPE
1374,Peg
1375,Nerdy Scientist
1376,Jim Wallace
1377,Toby Hunter
1378,BUZZ
1379,Mission Control
1380,Race
1381,Everybody
1382,Ants
1383,Ant #1
1384,Ant #2
1385,Ant #3
1386,Ant #4
1387,James Taylor
1388,RERPORTER #4
1389,Star Child Homer
1390,First Guy In Line
1391,Eddie Money
1392,Jeremiah
1393,Priest
1394,Rappin' Ronnie
1395,Voice #1
1396,Voice #2
1397,Voice #3
1398,Voice #4
1399,Congregation
1400,Ernie Ford
1401,Carter
1402,Gomer
1404,Saxophone
1405,Mr. Clean-style Character
1406,Goofy Recording
1407,Station Owner
1408,Dj3000
1409,Arboretum Guy
1410,Small Kid
1411,MEDIUM-SIZED KID
1412,Kid's Mother
1414,Grizzled Guy
1415,Wildlife Man
1416,Ivory Dealer
1417,Speaker Box
1418,GAME SHOW MAN
1403,Bill Clinton
1337,James Woods
1524,Jessica
1370,STILLWATER
1333,Technician
1419,Baby Burns
1420,Teenage Burns
1421,Greenpeace Hippie #1
1422,Greenpeace Hippie #2
1423,Lee Majors
1424,Street Urchin
1425,Elf
1426,Deprogrammer
1427,Marge
1428,Lisa
1429,Homer Actor
1430,Marge Actress
1431,Lisa Actress
1432,Baby Bart
1433,Class
1434,Leopold
1436,Hayseed #1
1437,Hayseed #2
1438,Flanders's Beatnik Dad
1439,Private
1440,Rowdy Soldier
1441,Huck
1442,Freddy
1443,Lincoln Hobo
1445,Various Quimbys
1446,French Waiter
1447,Quimby's Lawyer
1448,Lunchlady Bart
1449,JIMBO JR.
1450,Jurors
1451,Monkeys
1453,Grampa's Brain
1454,Generation X Guy
1455,Nelson Apparition
1456,Voice Inside Cake
